City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,sierra vista southeast,31.4539,-110.2164,27.42,12,100,3.09,US,1687492096
165,bredasdorp,-34.5322,20.0403,10.2,77,0,2.61,ZA,1687492096
166,tura,25.5198,90.2201,28.87,74,39,2.01,IN,1687492096
167,hilo,19.7297,-155.09,27.38,81,75,3.6,US,1687492008
168,lihue,21.9789,-159.3672,29.58,71,75,8.23,US,1687492096
169,rye,40.9807,-73.6837,20.69,83,75,0.45,US,1687491947
170,katsuura,35.1333,140.3,22.01,85,100,1.78,JP,1687492097
171,malanje,-9.5402,16.341,11.93,40,50,1.41,AO,1687492097
172,ta`u,-14.2336,-169.5144,27.52,75,35,2.8,AS,1687492098
173,villa huidobro,-34.8383,-64.5869,9.74,80,84,2.72,AR,1687492099
174,tralee,52.2704,-9.7026,15.91,98,100,2.45,IE,1687492099
175,aruppukkottai,9.5167,78.1,32.24,55,100,1.13,IN,1687492100
176,okakarara,-20.5833,17.4333,8.47,22,0,2.14,NA,1687492100
177,udachny,66.4167,112.4,16.92,67,100,5.19,RU,1687492101
178,sant'antioco,39.0664,8.4522,21.42,89,29,4.89,IT,1687492101
179,bubaque,11.2833,-15.8333,26.77,83,93,4.94,GW,1687492092
180,ciechanow,52.8814,20.62,16.92,69,72,2.88,PL,1687492102
181,bethanie,-26.4833,17.15,13.68,26,0,2.73,NA,1687492102
182,kuanda,56.3161,116.0806,28.07,34,5,1.96,RU,1687492103
183,enewetak,11.3474,162.3373,28.17,79,39,8.41,MH,1687492103
184,raja,8.4596,25.678,21.05,99,100,0.39,SS,1687492104
185,utrik,11.2278,169.8474,28.14,75,24,6.21,MH,1687492104
186,barranca,-10.75,-77.7667,19.64,79,36,3.74,PE,1687492104
187,mafraq,32.3333,37.9167,23.3,37,0,4.3,JO,1687492105
188,whistler,50.1164,-122.9695,18.66,70,58,1.2,CA,1687492105
189,pipar,26.3856,73.5378,30.84,58,52,7.05,IN,1687492105
190,labytnangi,66.6572,66.4183,5.62,68,89,1.78,RU,1687492105
191,hadibu,12.65,54.0333,27.16,77,69,8.94,YE,1687492105
192,kabalo,-6.05,26.9167,21.6,66,68,1.41,CD,1687492106
193,bathsheba,13.2167,-59.5167,27.34,89,75,5.14,BB,1687492106
194,grovedale,-38.2,144.35,11.28,77,100,2.79,AU,1687492106
195,bouca,6.5105,18.2733,21.14,94,100,1.19,CF,1687492107
196,natal,-5.795,-35.2094,23.36,100,20,2.57,BR,1687492004
197,colombo,6.9319,79.8478,27.97,79,89,5.38,LK,1687492107
198,doctor juan leon mallorquin,-25.4,-55.2667,16.85,98,78,1.7,PY,1687492108
199,lewisville,33.0462,-96.9942,30.25,64,0,3.09,US,1687491960
200,chesma,53.8111,60.6533,12.39,68,98,1.51,RU,1687492109
201,mersing,2.4312,103.8405,30.95,79,40,2.06,MY,1687491678
